,feature,importance
111,wind-hgt-10-2010-7,0.0009038054
112,wind-hgt-10-2010-8,0.00066628074
113,wind-hgt-10-2010-9,0.0007945176
114,wind-hgt-10-2010-10,0.0005160602
115,wind-hgt-100-2010-2,0.004851601
116,wind-hgt-100-2010-3,0.005907198
117,wind-hgt-100-2010-4,0.0025206192
118,wind-hgt-100-2010-5,0.00043064385
119,wind-hgt-100-2010-6,0.0005109201
120,wind-hgt-100-2010-7,0.0035740472
121,wind-hgt-100-2010-8,0.00022452508
122,wind-hgt-100-2010-9,0.0007385725
123,wind-hgt-100-2010-10,0.00016123362
124,wind-vwnd-925-2010-1,0.2657341
125,wind-vwnd-925-2010-2,0.00013976515
126,wind-vwnd-925-2010-3,0.00095061597
127,wind-vwnd-925-2010-4,0.00042075073
128,wind-vwnd-925-2010-5,0.00017048154
129,wind-vwnd-925-2010-6,0.00073901867
130,wind-vwnd-925-2010-7,0.013335293
131,wind-vwnd-925-2010-8,0.0010197094
132,wind-vwnd-925-2010-9,0.00019252613
133,wind-vwnd-925-2010-10,0.00028091404
134,wind-vwnd-925-2010-11,0.0002997767
135,wind-vwnd-925-2010-12,0.0008660088
136,wind-vwnd-925-2010-13,0.0003228066
137,wind-vwnd-925-2010-14,0.00028202293
138,wind-vwnd-925-2010-15,0.00018533664
139,wind-vwnd-925-2010-16,0.00036204097
140,wind-vwnd-925-2010-17,0.00017274865
141,wind-vwnd-925-2010-18,0.00015044415
142,wind-vwnd-925-2010-19,0.0001777873
143,wind-vwnd-925-2010-20,0.00018557483
144,year,0.0007496974
145,month,0.049629986
146,day,0.025206314
