feature,importance
nmme-prate-56w__nasa,80593
nmme0-prate-34w__ccsm30,71866
elevation__elevation,69563
nmme-prate-56w__nmmemean,64883
lon,63248
contest-precip-14d__precip,61135
contest-prwtr-eatm-14d__prwtr,57214
lat,57164
contest-rhum-sig995-14d__rhum,57097
nmme-prate-56w__ccsm3,53706
contest-wind-h500-14d__wind-hgt-500,53096
contest-wind-uwnd-925-14d__wind-uwnd-925,48725
contest-wind-vwnd-925-14d__wind-vwnd-925,47907
contest-slp-14d__slp,46300
contest-wind-uwnd-250-14d__wind-uwnd-250,38553
contest-wind-h850-14d__wind-hgt-850,37066
contest-wind-vwnd-250-14d__wind-vwnd-250,35053
mjo1d__amplitude,4844
wind-vwnd-925-2010-14,4519
wind-vwnd-250-2010-19,4092
wind-vwnd-925-2010-19,4066
wind-vwnd-250-2010-13,4004
wind-vwnd-925-2010-17,3982
wind-vwnd-925-2010-15,3977
wind-vwnd-925-2010-20,3946
wind-vwnd-925-2010-18,3938
sst-2010-10,3901
wind-vwnd-250-2010-18,3899
wind-vwnd-250-2010-16,3895
wind-uwnd-250-2010-20,3851
wind-vwnd-250-2010-14,3832
wind-uwnd-250-2010-19,3831
wind-vwnd-250-2010-20,3804
wind-uwnd-925-2010-15,3802
wind-uwnd-925-2010-20,3795
wind-vwnd-250-2010-9,3758
wind-vwnd-250-2010-12,3730
wind-vwnd-925-2010-1,3724
wind-uwnd-925-2010-12,3713
wind-vwnd-250-2010-17,3696
wind-uwnd-925-2010-11,3672
wind-uwnd-250-2010-18,3669
wind-uwnd-925-2010-17,3566
wind-hgt-100-2010-5,3566
wind-vwnd-925-2010-2,3550
wind-vwnd-250-2010-5,3538
wind-uwnd-250-2010-9,3536
wind-uwnd-925-2010-16,3527
wind-uwnd-925-2010-9,3525
wind-vwnd-925-2010-10,3523
wind-vwnd-250-2010-11,3513
wind-uwnd-250-2010-16,3512
wind-vwnd-250-2010-6,3507
wind-vwnd-925-2010-16,3501
wind-vwnd-925-2010-13,3500
wind-vwnd-925-2010-6,3490
wind-uwnd-925-2010-19,3484
wind-uwnd-250-2010-6,3477
wind-vwnd-925-2010-8,3476
wind-hgt-10-2010-6,3446
wind-vwnd-925-2010-12,3439
wind-uwnd-925-2010-14,3438
wind-uwnd-925-2010-13,3434
wind-uwnd-250-2010-15,3429
wind-uwnd-250-2010-10,3421
wind-uwnd-250-2010-14,3414
wind-vwnd-925-2010-11,3395
wind-vwnd-250-2010-15,3379
wind-uwnd-925-2010-18,3377
wind-hgt-10-2010-10,3376
wind-vwnd-250-2010-3,3367
wind-vwnd-925-2010-9,3360
wind-vwnd-250-2010-8,3358
wind-hgt-500-2010-5,3301
wind-uwnd-925-2010-6,3254
wind-uwnd-250-2010-17,3252
wind-hgt-850-2010-2,3248
wind-vwnd-250-2010-10,3248
wind-uwnd-250-2010-4,3245
wind-uwnd-250-2010-13,3223
wind-vwnd-250-2010-2,3217
wind-vwnd-925-2010-3,3199
wind-hgt-10-2010-8,3195
wind-uwnd-250-2010-8,3192
wind-uwnd-250-2010-12,3190
sst-2010-2,3170
wind-uwnd-925-2010-3,3154
wind-vwnd-925-2010-4,3152
wind-uwnd-925-2010-7,3146
wind-vwnd-925-2010-7,3132
wind-uwnd-925-2010-8,3117
wind-hgt-100-2010-8,3112
wind-uwnd-925-2010-10,3106
wind-uwnd-250-2010-7,3094
wind-hgt-850-2010-10,3072
sst-2010-6,3071
wind-hgt-850-2010-6,3066
wind-hgt-10-2010-4,3061
wind-hgt-10-2010-7,3021
wind-vwnd-925-2010-5,3009
wind-hgt-100-2010-10,3008
wind-uwnd-250-2010-5,3006
wind-hgt-500-2010-4,2992
wind-vwnd-250-2010-4,2991
wind-hgt-100-2010-7,2957
wind-uwnd-250-2010-11,2955
wind-hgt-500-2010-8,2953
wind-uwnd-250-2010-3,2923
wind-vwnd-250-2010-7,2918
wind-hgt-10-2010-3,2916
wind-uwnd-925-2010-5,2902
wind-hgt-500-2010-7,2899
sst-2010-9,2886
wind-uwnd-925-2010-4,2873
wind-hgt-100-2010-4,2872
wind-hgt-100-2010-6,2861
sst-2010-8,2841
wind-hgt-100-2010-9,2836
wind-uwnd-925-2010-2,2833
day,2814
sst-2010-7,2812
wind-hgt-500-2010-9,2811
wind-hgt-10-2010-5,2795
wind-hgt-850-2010-9,2787
wind-hgt-100-2010-2,2769
wind-hgt-850-2010-4,2748
wind-hgt-500-2010-2,2746
wind-hgt-500-2010-10,2710
wind-hgt-850-2010-7,2654
wind-hgt-100-2010-3,2651
wind-hgt-10-2010-9,2646
sst-2010-4,2494
wind-hgt-500-2010-6,2415
sst-2010-3,2358
icec-2010-2,2314
icec-2010-7,2312
icec-2010-10,2307
sst-2010-5,2222
icec-2010-4,2056
icec-2010-6,1900
icec-2010-8,1890
icec-2010-9,1870
icec-2010-3,1793
mjo1d__phase,936
month,169
year,146
mei__nip,26
