iter	Passed	Remaining
0	8	124859
1	15	114712
2	21	109903
3	28	107898
4	35	106588
5	41	104714
6	48	103971
7	55	103313
8	61	102464
9	68	102036
10	74	101471
11	80	101094
12	87	100844
13	93	100559
14	100	100304
15	107	100221
16	113	100062
17	119	99850
18	126	99703
19	132	99580
20	139	99419
21	145	99331
22	152	99249
23	158	99103
24	165	99015
25	171	98950
26	178	98924
27	184	98819
28	191	98803
29	197	98713
30	204	98648
31	210	98567
32	217	98565
33	223	98586
34	230	98481
35	236	98330
36	242	98186
37	249	98093
38	255	97984
39	261	97880
40	267	97770
41	274	97658
42	280	97415
43	285	97002
44	290	96603
45	296	96273
46	301	95966
47	307	95665
48	312	95414
49	318	95118
50	323	94924
51	329	94693
52	334	94453
53	340	94179
54	345	93948
55	351	93697
56	356	93451
57	362	93292
58	367	93073
59	373	92883
60	378	92704
61	384	92544
62	389	92346
63	394	92154
64	400	91994
65	405	91801
66	411	91632
67	416	91458
68	421	91310
69	427	91160
70	432	90999
71	438	90813
72	443	90671
73	448	90521
74	454	90415
75	459	90288
76	465	90145
77	470	90010
78	476	89914
79	481	89771
80	486	89639
81	491	89501
82	497	89368
83	502	89239
84	508	89152
85	513	89017
86	518	88899
87	523	88760
88	529	88655
89	534	88537
90	539	88450
91	545	88360
92	550	88291
93	556	88179
94	561	88095
95	566	88003
96	572	87891
97	577	87796
98	582	87720
99	588	87646
100	593	87568
101	598	87484
102	604	87395
103	609	87332
104	615	87259
105	620	87191
106	625	87105
107	631	87043
108	636	86981
109	642	86940
110	647	86900
111	653	86837
112	658	86777
113	664	86723
114	669	86678
115	674	86608
116	680	86574
117	685	86516
118	691	86458
119	696	86400
120	702	86362
121	707	86337
122	713	86301
123	718	86235
124	724	86187
125	729	86144
126	735	86098
127	740	86041
128	745	85988
129	751	85950
130	756	85905
131	762	85866
132	767	85805
133	773	85765
134	778	85703
135	783	85668
136	789	85637
137	794	85610
138	800	85578
139	806	85571
140	811	85538
141	817	85495
142	822	85437
143	827	85399
144	833	85367
145	838	85333
146	844	85299
147	849	85266
148	855	85232
149	860	85198
150	866	85174
151	871	85139
152	876	85090
153	882	85059
154	887	85026
155	893	84992
156	898	84958
157	903	84910
158	909	84909
159	915	84919
160	921	84920
161	927	84925
162	933	84931
163	939	84951
164	945	84976
165	950	84979
166	956	84993
167	962	84988
168	968	84963
169	973	84932
170	978	84891
171	984	84868
172	989	84847
173	995	84825
174	1001	84799
175	1006	84773
176	1012	84751
177	1017	84713
178	1023	84706
179	1028	84688
180	1034	84662
181	1039	84650
182	1045	84615
183	1050	84585
184	1055	84555
185	1061	84547
186	1067	84527
187	1072	84507
188	1078	84485
189	1083	84463
190	1089	84442
191	1094	84402
192	1099	84377
193	1105	84350
194	1110	84339
195	1116	84318
196	1121	84298
197	1127	84273
198	1132	84231
199	1138	84217
200	1143	84207
201	1149	84196
202	1154	84184
203	1160	84151
204	1165	84145
205	1171	84134
206	1177	84117
207	1182	84085
208	1187	84065
209	1193	84041
210	1198	84028
211	1204	84008
212	1209	83982
213	1214	83947
214	1220	83927
215	1226	83919
216	1231	83892
217	1237	83883
218	1242	83870
219	1247	83841
220	1253	83822
221	1258	83806
222	1264	83783
223	1270	83779
224	1275	83746
225	1281	83749
226	1286	83742
227	1292	83714
228	1297	83698
229	1303	83689
230	1308	83655
231	1314	83648
232	1319	83633
233	1325	83611
234	1330	83589
235	1335	83576
236	1341	83576
237	1347	83563
238	1352	83558
239	1358	83542
240	1364	83533
241	1369	83527
242	1375	83510
243	1380	83495
244	1386	83477
245	1391	83472
246	1397	83454
247	1402	83448
248	1408	83437
249	1413	83424
250	1419	83413
251	1424	83386
252	1430	83355
253	1435	83349
254	1441	83338
255	1447	83338
256	1452	83332
257	1458	83327
258	1463	83314
259	1469	83314
260	1475	83327
261	1482	83407
262	1489	83489
263	1497	83575
264	1504	83656
265	1511	83735
266	1518	83817
267	1525	83873
268	1531	83864
269	1537	83854
270	1542	83843
271	1548	83844
272	1553	83827
273	1559	83815
274	1565	83804
275	1570	83800
276	1576	83795
277	1581	83777
278	1587	83771
279	1593	83761
280	1598	83746
281	1604	83730
282	1609	83713
283	1615	83697
284	1620	83674
285	1626	83661
286	1631	83645
287	1636	83618
288	1643	83657
289	1649	83647
290	1654	83638
291	1659	83607
292	1665	83595
293	1670	83578
294	1676	83568
295	1681	83548
296	1687	83535
297	1693	83533
298	1698	83523
299	1704	83517
300	1710	83506
301	1715	83497
302	1721	83490
303	1726	83484
304	1732	83476
305	1738	83466
306	1743	83443
307	1749	83440
308	1754	83436
309	1760	83425
310	1766	83411
311	1771	83405
312	1777	83395
313	1782	83374
314	1788	83366
315	1793	83347
316	1799	83342
317	1805	83344
318	1810	83340
319	1816	83334
320	1822	83329
321	1827	83325
322	1833	83315
323	1839	83312
324	1845	83309
325	1850	83306
326	1856	83289
327	1861	83278
328	1867	83268
329	1872	83259
330	1878	83256
331	1884	83267
332	1890	83272
333	1896	83267
334	1902	83267
335	1907	83261
336	1913	83255
337	1918	83242
338	1924	83242
339	1930	83226
340	1935	83220
341	1941	83217
342	1947	83201
343	1952	83185
344	1958	83177
345	1963	83163
346	1969	83156
347	1974	83136
348	1979	83108
349	1985	83092
350	1990	83075
351	1996	83072
352	2002	83073
353	2007	83064
354	2013	83053
355	2019	83051
356	2024	83036
357	2029	83014
358	2035	83016
359	2041	83009
360	2046	82989
361	2052	82979
362	2058	82983
363	2063	82962
364	2068	82937
365	2074	82926
366	2079	82926
367	2085	82924
